original_osm_name	normalized_name
1-й Дружний провулок	1-й Дружний провулок
1-й Дунайський провулок	1-й Дунайський провулок
1-й Евенський провулок	1-й Евенський провулок
1-й Електронний провулок	1-й Електронний провулок
1-й Електронний проїзд	1-й Електронний проїзд
1-й Житловий провулок	1-й Житловий провулок
1-й Житній провулок	1-й Житній провулок
1-й Житомирський провулок	1-й Житомирський провулок
1-й Жовтневий в’їзд	1-й Жовтневий вʼїзд
1-й Жовтневий провулок	1-й Жовтневий провулок
1-й Журавський провулок	1-й Журавський провулок
1-й Заводський провулок	1-й Заводський провулок
1-й Заводський тупик	1-й Заводський тупик
1-й Завокзальний провулок	1-й Завокзальний провулок
1 Загребельний провулок	1-й Загребельний провулок
1-й Загребельний провулок	1-й Загребельний провулок
1-й Заливний провулок	1-й Заливний провулок
1-й Залізничний провулок	1-й Залізничний провулок
1-й Замковий провулок	1-й Замковий провулок
1-й Заозерний провулок	1-й Заозерний провулок
1-й Заорільський провулок	1-й Заорільський провулок
1-й Зарічний провулок	1-й Зарічний провулок
1-й Засульський провулок	1-й Засульський провулок
1-й Затишний тупик	1-й Затишний тупик
1-й Західний провулок	1-й Західний провулок
1-й Збаразький провулок	1-й Збаразький провулок
1-й Звенигородський провулок	1-й Звенигородський провулок
1-й Звенигородський проїзд	1-й Звенигородський проїзд
1-й Звягельський провулок	1-й Звягельський провулок
1-й Зелений провулок	1-й Зелений провулок
1-й Зеленодільський проїзд	1-й Зеленодільський проїзд
1-й Зерновий проїзд	1-й Зерновий проїзд
1-й Зірковий проїзд	1-й Зірковий проїзд
1-й Золотий в’їзд	1-й Золотий вʼїзд
1-й Золочівський провулок	1-й Золочівський провулок
1-й Зоологічний провулок	1-й Зоологічний провулок
1-й Інгульський провулок	1-й Інгульський провулок
1-й Індустріальний провулок	1-й Індустріальний провулок
1-й Індустріальний тупик	1-й Індустріальний тупик
1-й Інтернатський провулок	1-й Інтернатський провулок
1-й Іподромний провулок	1-й Іподромний провулок
1 Ірпіньський провулок	1-й Ірпінський провулок
1-й Істомінський провулок	1-й Істомінський провулок
