original_osm_name	normalized_name
Багачанська вулиця	Багачанська вулиця
Багачанський провулок	Багачанський провулок
Багачева вулиця	Багачева вулиця
Багачівський провулок	Багачівський провулок
Багговутівська вулиця	Багговутівська вулиця
Баглійська вулиця	Баглійська вулиця
Багметівська вулиця	Багметівська вулиця
Багняна вулиця	Багняна вулиця
Багнянська вулиця	Багнянська вулиця
Багратіонівська вулиця	Багратіонівська вулиця
Багринівська вулиця	Багринівська вулиця
Багряна вулиця	Багряна вулиця
Багряний провулок	Багряний провулок
Бадовська вулиця	Бадовська вулиця
Бажанівська вулиця	Бажанівська вулиця
Базавлуцька вулиця	Базавлуцька вулиця
Базавлуцький провулок	Базавлуцький провулок
Базарна вулиця	Базарна вулиця
вулиця Базарна	Базарна вулиця
Базарна площа	Базарна площа
Базарная вулиця	Базарная вулиця
Базарний майдан	Базарний майдан
Базарний провулок	Базарний провулок
Базарська вулиця	Базарська вулиця
Базівська вулиця	Базівська вулиця
Базіменна вулиця	Базіменна вулиця
Базова вулиця	Базова вулиця
Базовий провулок	Базовий провулок
Баїнська вулиця	Баїнська вулиця
Байгородська вулиця	Байгородська вулиця
Байдаківська вулиця	Байдаківська вулиця
Байдарковий провулок	Байдарковий провулок
Байдарочний провулок	Байдарочний провулок
Байдарська вулиця	Байдарська вулиця
Байдовий міст	Байдовий міст
Байкальська вулиця	Байкальська вулиця
Байкальський провулок	Байкальський провулок
Байконурівська вулиця	Байконурівська вулиця
Байконурська вулиця	Байконурська вулиця
Байрактарська вулиця	Байрактарська вулиця
Байрацька вулиця	Байрацька вулиця
Байрацький провулок	Байрацький провулок
Байрачанська вулиця	Байрачанська вулиця
Байрачанський провулок	Байрачанський провулок
Байрачна вулиця	Байрачна вулиця
Бакаївська вулиця	Бакаївська вулиця
Бакайська вулиця	Бакайська вулиця
Бакинська вулиця	Бакинська вулиця
Бакинський квартал	Бакинський квартал
Бакинський провулок	Бакинський провулок
Бакинський проїзд	Бакинський проїзд
Бакинський тупик	Бакинський тупик
Бакінська вулиця	Бакінська вулиця
Бакінський провулок	Бакінський провулок
Бакінський проїзд	Бакінський проїзд
Бакіровський провулок	Бакіровський провулок
Баклажанна вулиця	Баклажанна вулиця
Бакшарівська вулиця	Бакшарівська вулиця
Балабанівська вулиця	Балабанівська вулиця
Балаклавська вулиця	Балаклавська вулиця
Балаклавський провулок	Балаклавський провулок
Балакліївська вулиця	Балакліївська вулиця
Балаклійська вулиця	Балаклійська вулиця
Балаклійський в’їзд	Балаклійський вʼїзд
Балаклійський провулок	Балаклійський провулок
Баланівська вулиця	Баланівська вулиця
Баласний провулок	Баласний провулок
Баластна вулиця	Баластна вулиця
Балашевський провулок	Балашевський провулок
Балашівська вулиця	Балашівська вулиця
Балашовська вулиця	Балашовська вулиця
Балашовський провулок	Балашовський провулок
Балашовський проїзд	Балашовський проїзд
Балашовський узвіз	Балашовський узвіз
Балістична вулиця	Балістична вулиця
Балканська вулиця	Балканська вулиця
Балканський провулок	Балканський провулок
Балківська вулиця	Балківська вулиця
Балківський провулок	Балківський провулок
Балковий міст	Балковий міст
Балковий провулок	Балковий провулок
Баллінська вулиця	Баллінська вулиця
Балочна вулиця	Балочна вулиця
Балочний провулок	Балочний провулок
Балтазарівська вулиця	Балтазарівська вулиця
Балтівська вулиця	Балтівська вулиця
Балтійська вулиця	Балтійська вулиця
Балтійський провулок	Балтійський провулок
Балтська вулиця	Балтська вулиця
Балтська дорога	Балтська дорога
Балхаська вулиця	Балхаська вулиця
Балхаський провулок	Балхаський провулок
Бальзаківська вулиця	Бальзаківська вулиця
Бамівська вулиця	Бамівська вулиця
Банилівська вулиця	Банилівська вулиця
Банківська вулиця	Банківська вулиця
Банківська вулиця35	Банківська вулиця
Банківський провулок	Банківський провулок
Банна вулиця	Банна вулиця
Банний провулок	Банний провулок
Банний спуск	Банний спуск
Баннівська вулиця	Баннівська вулиця
Банська вулиця	Банська вулиця
Банянська вулиця	Банянська вулиця
Барабашівський провулок	Барабашівський провулок
Барабінська вулиця	Барабінська вулиця
Барабінський провулок	Барабінський провулок
Бараниківська вулиця	Бараниківська вулиця
Бараниківський провулок	Бараниківський провулок
Баранівська вулиця	Баранівська вулиця
Баранівський провулок	Баранівський провулок
Барановіцький провулок	Барановіцький провулок
Барахтянська вулиця	Барахтянська вулиця
Барачна вулиця	Барачна вулиця
Барачний провулок	Барачний провулок
Барашівська вулиця	Барашівська вулиця
Барвиста вулиця	Барвиста вулиця
Барвінківська вулиця	Барвінківська вулиця
Барвінківський в’їзд	Барвінківський вʼїзд
Барвінківський провулок	Барвінківський провулок
Барвінковий провулок	Барвінковий провулок
Барвінковий проїзд	Барвінковий проїзд
Барвінова вулиця	Барвінова вулиця
Бардаківська вулиця	Бардаківська вулиця
Бардіївська вулиця	Бардіївська вулиця
Баренцева вулиця	Баренцева вулиця
Барикадна вулиця	Барикадна вулиця
Барикадний провулок	Барикадний провулок
Бариська вулиця	Бариська вулиця
Баришева вулиця	Баришева вулиця
Баришівська вулиця	Баришівська вулиця
Баркасний провулок	Баркасний провулок
Барнаульська вулиця	Барнаульська вулиця
Барнаульський провулок	Барнаульський провулок
Баронівська вулиця	Баронівська вулиця
Баронська вулиця	Баронська вулиця
Барська вулиця	Барська вулиця
Барське шосе	Барське шосе
Барчаний провулок	Барчаний провулок
Бар'єрний провулок	Барʼєрний провулок
Басарабівська вулиця	Басарабівська вулиця
Басарабська вулиця	Басарабська вулиця
Басейна вулиця	Басейна вулиця
Басейний провулок	Басейний провулок
Басейний проїзд	Басейний проїзд
Басейний тупик	Басейний тупик
Басівкутська вулиця	Басівкутська вулиця
Басівська вулиця	Басівська вулиця
Баскетбольна вулиця	Баскетбольна вулиця
Бастіонна вулиця	Бастіонна вулиця
Бастіонний провулок	Бастіонний провулок
Батайська вулиця	Батайська вулиця
Батайський провулок	Батайський провулок
Батальйонна вулиця	Батальйонна вулиця
Батальйонний провулок	Батальйонний провулок
Батальна вулиця	Батальна вулиця
Батарейна вулиця	Батарейна вулиця
Батарейний провулок	Батарейний провулок
Батівська вулиця	Батівська вулиця
Батівський шляхопровід	Батівський шляхопровід
Батова вулиця	Батова вулиця
Батозька вулиця	Батозька вулиця
Батумська вулиця	Батумська вулиця
Батумський провулок	Батумський провулок
Батумський тупик	Батумський тупик
Батуринська вулиця	Батуринська вулиця
Бауманська вулиця	Бауманська вулиця
Бахмацька вулиця	Бахмацька вулиця
Бахмацький провулок	Бахмацький провулок
Бахмутська вулиця	Бахмутська вулиця
Бахмутський провулок	Бахмутський провулок
Бахмутський тупик	Бахмутський тупик
Бахчева вулиця	Бахчева вулиця
Бахчисарайська вулиця	Бахчисарайська вулиця
Бахчисарайський провулок	Бахчисарайський провулок
Башкирівська вулиця	Башкирівська вулиця
Башкирівський провулок	Башкирівський провулок
Башкирська вулиця	Башкирська вулиця
Башкирський провулок	Башкирський провулок
Башкірська вулиця	Башкірська вулиця
Башкірський провулок	Башкірський провулок
Башлаївський провулок	Башлаївський провулок
Баштанна вулиця	Баштанна вулиця
Баштанний провулок	Баштанний провулок
Баштанська вулиця	Баштанська вулиця
Баштанський провулок	Баштанський провулок
Баштовий провулок	Баштовий провулок
Бджолиний провулок	Бджолиний провулок
Бедівська вулиця	Бедівська вулиця
Бежева вулиця	Бежева вулиця
Бежецька вулиця	Бежецька вулиця
Безвірницька вулиця	Безвірницька вулиця
Безводівський провулок	Безводівський провулок
Безводна вулиця	Безводна вулиця
Безводня вулиця	Безводня вулиця
Безименна вулиця	Безименна вулиця
Безіменна вулиця	Безіменна вулиця
Безіменний провулок	Безіменний провулок
Безіменний проїзд	Безіменний проїзд
Безімʼянний провулок	Безімʼянний провулок
Безкрайня вулиця	Безкрайня вулиця
Безлісна вулиця	Безлісна вулиця
Безлюдівська вулиця	Безлюдівська вулиця
Безпалівський в’їзд	Безпалівський вʼїзд
Безпалівський провулок	Безпалівський провулок
Безпальчева вулиця	Безпальчева вулиця
Безпечна вулиця	Безпечна вулиця
Беївська  вулиця	Беївська вулиця
Беївська вулиця	Беївська вулиця
Бейкуська вулиця	Бейкуська вулиця
Белгородська вулиця	Белгородська вулиця
Белзька вулиця	Белзька вулиця
Бельведерська вулиця	Бельведерська вулиця
Бельгійська вулиця	Бельгійська вулиця
Бельфорський бульвар	Бельфорський бульвар
Бендерська вулиця	Бендерська вулиця
Бенедиківська вулиця	Бенедиківська вулиця
Бенівська вулиця	Бенівська вулиця
Бервицька вулиця	Бервицька вулиця
Бергометська вулиця	Бергометська вулиця
Бердичівська вулиця	Бердичівська вулиця
Бердичівське шосе	Бердичівське шосе
Бердичівський майдан	Бердичівський майдан
Бердичівський провулок	Бердичівський провулок
Бердичівський проїзд	Бердичівський проїзд
Бердянська вулиця	Бердянська вулиця
Бердянський провулок	Бердянський провулок
Берегівська вулиця	Берегівська вулиця
Берегівський провулок	Берегівський провулок
Берегова вулиця	Берегова вулиця
Береговий провулок	Береговий провулок
Береговий тупик	Береговий тупик
Берегометська вулиця	Берегометська вулиця
Бережанська вулиця	Бережанська вулиця
Бережанський провулок	Бережанський провулок
Бережинська вулиця	Бережинська вулиця
Бережківська вулиця	Бережківська вулиця
Бережна вулиця	Бережна вулиця
Бережна вулицяё	Бережна вулиця
Бережний провулок	Бережний провулок
Бережницька вулиця	Бережницька вулиця
Бережнянська вулиця	Бережнянська вулиця
Березанівська вулиця	Березанівська вулиця
Березанська вулиця	Березанська вулиця
Березанський провулок	Березанський провулок
Берездівська вулиця	Берездівська вулиця
Березенська вулиця	Березенська вулиця
Березинська вулиця	Березинська вулиця
Березівська вулиця	Березівська вулиця
Березівський в’їзд	Березівський вʼїзд
Березівський завулок	Березівський завулок
Березівський провулок	Березівський провулок
Березнева вулиця	Березнева вулиця
Березневий провулок	Березневий провулок
Березневий проїзд	Березневий проїзд
Березнегуватська вулиця	Березнегуватська вулиця
Березнегуватський провулок	Березнегуватський провулок
Березниківська вулиця	Березниківська вулиця
Березницька вулиця	Березницька вулиця
Березнівська вулиця	Березнівська вулиця
Березняківська вулиця	Березняківська вулиця
Березнянська вулиця	Березнянська вулиця
Березовий в'їзд	Березовий вʼїзд
Березовий в’їзд	Березовий вʼїзд
Березовий провулок	Березовий провулок
Березовицька вулиця	Березовицька вулиця
Березовський провулок	Березовський провулок
Березяна вулиця	Березяна вулиця
Березяний провулок	Березяний провулок
Береневий провулок	Береневий провулок
Береславська вулиця	Береславська вулиця
Береславський тупик	Береславський тупик
Берестейська вулиця	Берестейська вулиця
Берестецька вулиця	Берестецька вулиця
Берестечківська вулиця	Берестечківська вулиця
Берестівська вулиця	Берестівська вулиця
Бересткова вулиця	Бересткова вулиця
Берестовий провулок	Берестовий провулок
Берестовська вулиця	Берестовська вулиця
Берестовський провулок	Берестовський провулок
Берестяна вулиця	Берестяна вулиця
Берестянська вулиця	Берестянська вулиця
Берецька вулиця	Берецька вулиця
Бериславська вулиця	Бериславська вулиця
Бериславське шосе	Бериславське шосе
Бериславський провулок	Бериславський провулок
Берінговий провулок	Берінговий провулок
Берковецька вулиця	Берковецька вулиця
Берладинська вулиця	Берладинська вулиця
Берлінська вулиця	Берлінська вулиця
Бернардинська вулиця	Бернардинська вулиця
Бернардинська площа	Бернардинська площа
Берсенівська вулиця	Берсенівська вулиця
Бершадська вулиця	Бершадська вулиця
Бесарабська вулиця	Бесарабська вулиця
Бесарабський провулок	Бесарабський провулок
Бесемерівська вулиця	Бесемерівська вулиця
Бескидська вулиця	Бескидська вулиця
Бессарабська вулиця	Бессарабська вулиця
Беcсарабська вулиця	Бессарабська вулиця
Бессарабська площа	Бессарабська площа
Бессарабський провулок	Бессарабський провулок
Бессемерівська вулиця	Бессемерівська вулиця
Бетонна вулиця	Бетонна вулиця
Бехтеревський провулок	Бехтеревський провулок
Бєлгородська вулиця	Бєлгородська вулиця
Бєлгородський провулок	Бєлгородський провулок
Бєлградська вулиця	Бєлградська вулиця
Бєлогорівська вулиця	Бєлогорівська вулиця
Бєлогорівський провулок	Бєлогорівський провулок
Бєлорєченська вулиця	Бєлорєченська вулиця
Бєльовська вулиця	Бєльовська вулиця
Бєляєвська вулиця	Бєляєвська вулиця
Бєляєвський провулок	Бєляєвський провулок
Бибиківська вулиця	Бибиківська вулиця
Бидгощська вулиця	Бидгощська вулиця
Биківнянська вулиця	Биківнянська вулиця
Биківнянський провулок	Биківнянський провулок
Биківський провулок	Биківський провулок
Билинна вулиця	Билинна вулиця
Бирюківський провулок	Бирюківський провулок
Бистрицька вулиця	Бистрицька вулиця
Бистрівський провулок	Бистрівський провулок
Бистровський провулок	Бистровський провулок
Бистрянська вулиця	Бистрянська вулиця
Битицька вулиця	Битицька вулиця
Битицький провулок	Битицький провулок
Бишівська вулиця	Бишівська вулиця
Бишівський провулок	Бишівський провулок
Біанський тупик	Біанський тупик
Бібліотечна вулиця	Бібліотечна вулиця
Бібліотечний провулок	Бібліотечний провулок
Бібрська вулиця	Бібрська вулиця
Бігуча вулиця	Бігуча вулиця
Бійська вулиця	Бійська вулиця
Бійцева вулиця	Бійцева вулиця
Білаївська вулиця	Білаївська вулиця
Біланівський провулок	Біланівський провулок
Білашівська вулиця	Білашівська вулиця
Білгород-Дністровська вулиця	Білгород-Дністровська вулиця
Білгородська вулиця	Білгородська вулиця
Білгородське шосе	Білгородське шосе
Білгородський провулок	Білгородський провулок
Білгородський узвіз	Білгородський узвіз
Біленька вулиця	Біленька вулиця
Білецька вулиця	Білецька вулиця
Білецький провулок	Білецький провулок
Білецьківська вулиця	Білецьківська вулиця
Білий провулок	Білий провулок
Біликівський провулок	Біликівський провулок
Білицька вулиця	Білицька вулиця
Білицький провулок	Білицький провулок
Біличанська вулиця	Біличанська вулиця
Білківська вулиця	Білківська вулиця
Білківський провулок	Білківський провулок
Білобережна вулиця	Білобережна вулиця
Білобровський провулок	Білобровський провулок
Білобузька вулиця	Білобузька вулиця
Біловарська вулиця	Біловарська вулиця
Біловезька вулиця	Біловезька вулиця
Біловізька вулиця	Біловізька вулиця
Біловодська вулиця	Біловодська вулиця
Білогірська вулиця	Білогірська вулиця
Білоглинська вулиця	Білоглинська вулиця
Білогородська вулиця	Білогородська вулиця
Білогородський провулок	Білогородський провулок
Білогородський тупик	Білогородський тупик
Білогорська вулиця	Білогорська вулиця
Білогрудівська вулиця	Білогрудівська вулиця
Білодібровна вулиця	Білодібровна вулиця
Білозерська вулиця	Білозерська вулиця
Білозерська площа	Білозерська площа
Білозерський провулок	Білозерський провулок
Білозерцева провулок	Білозерцева провулок
Білозірна вулиця	Білозірна вулиця
Білозірська вулиця	Білозірська вулиця
Білокамінний провулок	Білокамінний провулок
Білокам’яна вулиця	Білокамʼяна вулиця
Білокам'янська вулиця	Білокамʼянська вулиця
Білокоровицьке шосе	Білокоровицьке шосе
Білокринична вулиця	Білокринична вулиця
Біломорська вулиця	Біломорська вулиця
Біломорський провулок	Біломорський провулок
Біломорський тупик	Біломорський тупик
Білоозерська вулиця	Білоозерська вулиця
Білопільська алея	Білопільська алея
Білопільська вулиця	Білопільська вулиця
Білопільський провулок	Білопільський провулок
Білорецька вулиця	Білорецька вулиця
Білоріченська вулиця	Білоріченська вулиця
Білоруська вулиця	Білоруська вулиця
Білоруський провулок	Білоруський провулок
Білоруський проїзд	Білоруський проїзд
Білосарайська вулиця	Білосарайська вулиця
Білосарайський провулок	Білосарайський провулок
Білосарайський проїзд	Білосарайський проїзд
Білостоцька вулиця	Білостоцька вулиця
Білостоцький в’їзд	Білостоцький вʼїзд
Білостоцький провулок	Білостоцький провулок
Білоусівський провулок	Білоусівський провулок
Білоусівський проїзд	Білоусівський проїзд
Білоуська вулиця	Білоуська вулиця
Білоцерківська вулиця	Білоцерківська вулиця
Бiлоцеркiвська вулиця	Білоцерківська вулиця
Білоцерківський провулок	Білоцерківський провулок
Білоцерківський узвіз	Білоцерківський узвіз
Білоярцева вулиця	Білоярцева вулиця
Білчина вулиця	Білчина вулиця
Більшовицька вулиця	Більшовицька вулиця
Більшовицький провулок	Більшовицький провулок
Біляївська вулиця	Біляївська вулиця
Біляївський провулок	Біляївський провулок
Біологічна вулиця	Біологічна вулиця
Біологічний в’їзд	Біологічний вʼїзд
Біологічний масив	Біологічний масив
Біологічний провулок	Біологічний провулок
Біохімічна вулиця	Біохімічна вулиця
Бірзульська вулиця	Бірзульська вулиця
Бірзульський бульвар	Бірзульський бульвар
Бірзульський провулок	Бірзульський провулок
Бірківська вулиця	Бірківська вулиця
Бірюзовий провулок	Бірюзовий провулок
Бірючанська вулиця	Бірючанська вулиця
Бісквітний провулок	Бісквітний провулок
Бісковицька вулиця	Бісковицька вулиця
Бічна Арктична вулиця	Бічна Арктична вулиця
Бариська Бічна вулиця	Бічна Бариська вулиця
Берегівська-бічна вулиця	Бічна Берегівська вулиця
Бічна Бігова вулиця	Бічна Бігова вулиця
Білозірська Бічна вулиця	Бічна Білозірська вулиця
Бічна Бродівська вулиця	Бічна Бродівська вулиця
Бродівська бічна вулиця	Бічна Бродівська вулиця
Бродівська Бічна вулиця	Бічна Бродівська вулиця
Будівельна Бічна вулиця	Бічна Будівельна вулиця
Бічна Бурштинова вулиця	Бічна Бурштинова вулиця
Весела-Бічна вулиця	Бічна Весела вулиця
Бічна вишнева вулиця	Бічна Вишнева вулиця
Вузька Бічна вулиця	Бічна Вузька вулиця
Бічна вулиця	Бічна вулиця
вулиця Бічна	Бічна вулиця
1-го Листопада Бічна вулиця	бічна вулиця 1 Листопада
Адама Міцкевича-Бічна вулиця	бічна вулиця Адама Міцкевича
Бандери Бічна вулиця	бічна вулиця Бандери
Богайчука Бічна вулиця	бічна вулиця Богайчука
Бічна Богдана Хмельницького вулиця	бічна вулиця Богдана Хмельницького
Богдана Хмельницького бічна вулиця	бічна вулиця Богдана Хмельницького
Богдана Хмельницького Бічна вулиця	бічна вулиця Богдана Хмельницького
Братів Бережницьких Бічна вулиця	бічна вулиця Братів Бережницьких
Василя Стуса бічна вулиця	бічна вулиця Василя Стуса
Бічна Виговського вулиця	бічна вулиця Виговського
Бічна Володимира Великого вулиця	бічна вулиця Володимира Великого
Володимира Івасюка Бічна вулиця	бічна вулиця Володимира Івасюка
В’ячеслава Чорновола Бічна вулиця	бічна вулиця Вʼячеслава Чорновола
Геофізиків бічна вулиця	бічна вулиця Геофізиків
Гишки Бічна вулиця	бічна вулиця Гишки
Бічна Гонти вулиця	бічна вулиця Гонти
Бічна Григорія Сковороди вулиця	бічна вулиця Григорія Сковороди
Дружби бічна вулиця	бічна вулиця Дружби
Духновича бічна вулиця	бічна вулиця Духновича
Євгена Коновальця Бічна вулиця	бічна вулиця Євгена Коновальця
Бічна Івана Ґонти вулиця	бічна вулиця Івана Ґонти
Бічна Івана Котляревського вулиця	бічна вулиця Івана Котляревського
Бічна Івана Миколайчука вулиця	бічна вулиця Івана Миколайчука
Івана Франка бічна вулиця	бічна вулиця Івана Франка
Івана Франка-бічна вулиця	бічна вулиця Івана Франка
Клячковського бічна вулиця	бічна вулиця Клячковського
Колісники Бічна вулиця	бічна вулиця Колісники
Бічна Котляревського вулиця	бічна вулиця Котляревського
Бічна Леоніда Глібова вулиця	бічна вулиця Леоніда Глібова
Лесі Українки Бічна вулиця	бічна вулиця Лесі Українки
Лесі Українки-Бічна вулиця	бічна вулиця Лесі Українки
Бічна Мазепи вулиця	бічна вулиця Мазепи
Бічна Макаренка вулиця	бічна вулиця Макаренка
Бічна Маркіяна Шашкевича вулиця	бічна вулиця Маркіяна Шашкевича
Бічна Миколайчука вулиця	бічна вулиця Миколайчука
Бічна Миколи Аркаса вулиця	бічна вулиця Миколи Аркаса
Бічна Миру вулиця	бічна вулиця Миру
Миру бічна вулиця	бічна вулиця Миру
Михайла Грушевського Бічна вулиця	бічна вулиця Михайла Грушевського
Мічуріна Бічна вулиця	бічна вулиця Мічуріна
Молодої Гвардії бічна вулиця	бічна вулиця Молодої Гвардії
Новий Світ Бічна вулиця	бічна вулиця Новий Світ
О. Невського бічна вулиця	бічна вулиця О. Невського
О. Невського-бічна вулиця	бічна вулиця О. Невського
Олександра Невського бічна вулиця	бічна вулиця Олександра Невського
Бічна Олекси Довбуша вулиця	бічна вулиця Олекси Довбуша
Бічна Отця Іздрика вулиця	бічна вулиця Отця Іздрика
Павла Полуботка Бічна вулиця	бічна вулиця Павла Полуботка
Перемоги Бічна вулиця	бічна вулиця Перемоги
Бічна Петра Дорошенка вулиця	бічна вулиця Петра Дорошенка
Петра Дорошенка Бічна вулиця	бічна вулиця Петра Дорошенка
Поляна-Бічна вулиця	бічна вулиця Поляна
Бічна привокзальної вулиця	бічна вулиця Привокзальної
Романа Шухевича Бічна вулиця	бічна вулиця Романа Шухевича
Самчука Бічна вулиця	бічна вулиця Самчука
Бічна Симоненка вулиця	бічна вулиця Симоненка
Січових Срільців Бічна вулиця	бічна вулиця Січових Срільців
Бічна Сотника Василя Панаса вулиця	бічна вулиця Сотника Василя Панаса
Степана Бандери Бічна вулиця	бічна вулиця Степана Бандери
Степана Бандери-Бічна вулиця	бічна вулиця Степана Бандери
Бічна Тараса Шевченка вулиця	бічна вулиця Тараса Шевченка
Тараса Шевченка (бічна) вулиця	бічна вулиця Тараса Шевченка
Тараса Шевченка бічна вулиця	бічна вулиця Тараса Шевченка
Тараса Шевченка Бічна вулиця	бічна вулиця Тараса Шевченка
Тараса Шевченка-Бічна вулиця	бічна вулиця Тараса Шевченка
Українки Бічна вулиця	бічна вулиця Українки
Федуска-Бічна вулиця	бічна вулиця Федуска
Бічна Шевченка вулиця	бічна вулиця Шевченка
Шевченка бічна вулиця	бічна вулиця Шевченка
Шевченка Бічна вулиця	бічна вулиця Шевченка
Бічна Юридика вулиця	бічна вулиця Юридика
Гайова Бічна вулиця	Бічна Гайова вулиця
Галицька бічна вулиця	Бічна Галицька вулиця
Галицька Бічна вулиця	Бічна Галицька вулиця
Галицька-бічна вулиця	Бічна Галицька вулиця
Глибока бічна вулиця	Бічна Глибока вулиця
Городня-Бічна вулиця	Бічна Городня вулиця
Гранична Бічна вулиця	Бічна Гранична вулиця
Бічна Джерельна вулиця	Бічна Джерельна вулиця
Бічна дитяча вулиця	Бічна Дитяча вулиця
Дрогобицька Бічна вулиця	Бічна Дрогобицька вулиця
Енергетична Бічна вулиця	Бічна Енергетична вулиця
Живова Бічна вулиця	Бічна Живова вулиця
Заводська-Бічна вулиця	Бічна Заводська вулиця
Бічна Залізнична вулиця	Бічна Залізнична вулиця
Залізнична бічна вулиця	Бічна Залізнична вулиця
Залізнична Бічна вулиця	Бічна Залізнична вулиця
Залізнична-Бічна вулиця	Бічна Залізнична вулиця
Бічна Замкова вулиця	Бічна Замкова вулиця
Замкова Бічна вулиця	Бічна Замкова вулиця
Зарічна-Бічна вулиця	Бічна Зарічна вулиця
Бічна зелена	Бічна Зелена
Бічна Зелена	Бічна Зелена
Бічна Зелена вулиця	Бічна Зелена вулиця
Зелена Бічна вулиця	Бічна Зелена вулиця
Зелена-Бічна вулиця	Бічна Зелена вулиця
Бічна Зимноводівська вулиця	Бічна Зимноводівська вулиця
Бічна Індустріальна вулиця	Бічна Індустріальна вулиця
Бічна Інститутська вулиця	Бічна Інститутська вулиця
Камінна Бічна вулиця	Бічна Камінна вулиця
Київська бічна вулиця	Бічна Київська вулиця
Бічна Кібельна вулиця	Бічна Кібельна вулиця
Бічна Кліматична вулиця	Бічна Кліматична вулиця
Крута-Бічна вулиця	Бічна Крута вулиця
Кукезівська бічна вулиця	Бічна Кукезівська вулиця
Курортна-бічна вулиця	Бічна Курортна вулиця
Б. Лісна вулиця	Бічна Лісна вулиця
Бічна Лісна вулиця	Бічна Лісна вулиця
вул. Бічна Лісна	Бічна Лісна вулиця
Лісна Бічна вулиця	Бічна Лісна вулиця
Бічна Лісова вулиця	Бічна Лісова вулиця
Лісова Бічна вулиця	Бічна Лісова вулиця
Бічна Львівська вулиця	Бічна Львівська вулиця
вулиця Бічна Львівська	Бічна Львівська вулиця
Львівська бічна вулиця	Бічна Львівська вулиця
Львівська Бічна вулиця	Бічна Львівська вулиця
Микулинецька-бічна вулиця	Бічна Микулинецька вулиця
Бічна Мисливська вулиця	Бічна Мисливська вулиця
Бічна Молодіжна	Бічна Молодіжна вулиця
Бічна Молодіжна вулиця	Бічна Молодіжна вулиця
Монастирська бічна вулиця	Бічна Монастирська вулиця
Мостова бічна вулиця	Бічна Мостова вулиця
Набережна бічна вулиця	Бічна Набережна вулиця
Набережна-бічна вулиця	Бічна Набережна вулиця
Бічна Наварійська вулиця	Бічна Наварійська вулиця
Нижня бічна вулиця	Бічна Нижня вулиця
Бічна Нова вулиця	Бічна Нова вулиця
Нова бічна вулиця	Бічна Нова вулиця
Нова-Бічна вулиця	Бічна Нова вулиця
Бічна Озерна вулиця	Бічна Озерна вулиця
Бічна паркова вулиця	Бічна Паркова вулиця
Північна-бічна вулиця	Бічна Північна вулиця
Б. Пдвальна вулиця	Бічна Підвальна вулиця
Польна Бічна вулиця	Бічна Польна вулиця
Польна-Бічна вулиця	Бічна Польна вулиця
Бічна Польова вулиця	Бічна Польова вулиця
Бічна Пригородна вулиця	Бічна Пригородна вулиця
Бічна Прилбицька вулиця	Бічна Прилбицька вулиця
Проектна бічна вулиця	Бічна Проектна вулиця
Проєктна бічна вулиця	Бічна Проєктна вулиця
Бічна Промислова вулиця	Бічна Промислова вулиця
Промислова бічна вулиця	Бічна Промислова вулиця
Пряшівська-бічна вулиця	Бічна Пряшівська вулиця
Рівна-Бічна вулиця	Бічна Рівна вулиця
